review,town,country,institution_type,five_star_%,company_name,trust_score
340,Portland, United States,Financial Institution,96%,Evergreen Credit Union,4.9
304,Lincoln, United States,ATM,92%,Liberty First Credit Union,4.7
3300,Irvine, United States,Alternative Financial Service,66%,GoHenry by Acorns,4.3
214,Chicago, United States,Money Transfer Service,64%,Crypto Dispensers,4.1
19,Atlanta, United States,Bank,95%,Anytime Capital,4.5
10,San Francisco, United States,Financial Institution,100%,Swadesh,4.4
5,Cleveland, United States,Vending Machine Supplier,100%,VapeTM,4.1
4,San Diego , United States,Business to Business Service,100%,The Payment HQ,4.0
9,San Jose, United States,Debt Relief Service,67%,Meriwest Credit Union,3.8
8,Las Vegas, United States,ATM,37%,Coinhub Bitcoin ATM,3.7
1,San Diego, United States,ATM,100%,ATM Together,3.7
1,NA,NA,ATM,100%,ASDFTEST,3.7
1,Roxbury, United States,ATM,100%,WPC Merchant Services & Credit Card Processing,3.7
3,NA,NA,ATM,67%,cryptobaseatm.com,3.2
20,Cookeville, United States,Check Cashing Service,35%,Cash Express,2.9
12,NA,NA,Bank,76%,Heritage Valley Federal Credit Union,2.9
1251,Pittsburgh, United States,ATM,5%,PNC Bank,1.3
0,Fort Lauderdale, United States,Eftpos Equipment Supplier,0%,Nationwide Payment Systems,NA
0,Chicago, United States,Bank,0%,Liberty Bank for Savings,NA
0,Carlsbad, United States,Business to Business Service,0%,ATMDepot.com,NA
